Student_ID,Attendance_Percentage,Assignment_Score,Midterm_Score,Quiz_Score,Previous_GPA,Participation_Score,Internal_Score
STU001,96.85,43.76,97.25,86.18,7.24,8.34,40.37
STU002,67.63,54.71,43.38,58.02,9.32,6.6,28.68
STU003,64.36,50.48,43.56,61.77,8.48,5.22,27.4
STU004,78.31,84.22,71.85,76.41,5.7,1.55,36.73
STU005,77.07,63.27,56.34,74.86,5.39,8.9,33.31
STU006,73.23,40.49,89.61,78.52,7.92,1.17,33.85
STU007,97.4,59.22,42.71,68.37,7.98,7.18,33.19
STU008,98.43,41.08,45.1,84.08,9,3.44,31.52
STU009,68.2,56.84,30.42,88.53,5.9,5.69,27.52
STU010,98.39,75.64,74.4,54.31,9.4,4.64,39.14
STU011,59.91,92.22,63.85,47.13,5.12,1.84,32.69
STU012,98.69,95.04,57.93,44.64,5.91,6.2,38.17
STU013,89.96,76.4,90.32,76.59,8.3,2.6,40.9
STU014,92.59,45.83,46.74,87.47,7.38,9.58,32.93
STU015,56.95,85.71,80.65,84.89,8.29,3.34,37.08
STU016,69.78,60.28,46.4,67.54,5.82,7.79,30
STU017,64.91,42.65,91.41,59.9,9.17,6.12,33.97
STU018,98.85,90.94,32.92,69.83,7.35,7.63,35.9
STU019,97.44,40.35,78.4,68.93,6.29,5.08,35.27
STU020,96.47,85.35,72.94,94.27,8.87,8.46,42.71
STU021,94.29,67.85,73.41,92.98,8.77,5.45,39.48
STU022,85.93,81.42,40.45,45.32,9.93,8.1,33.76
STU023,84.49,77.44,35.01,50.22,5.09,6.96,31.02
STU024,86.4,69.13,90.27,77.76,6.69,4.16,39.58
STU025,99.08,46.37,43.66,93.11,6.64,5.71,32.47
STU026,94.43,78.4,85.6,98.76,6.61,2.73,41.72
STU027,91.54,90.68,84.07,50.3,9.63,4.29,41.38
STU028,75.18,56.12,52.93,45.55,8.31,4.56,29.85
STU029,88.23,48.96,63.23,60.68,6.58,4.69,32.48
STU030,82.59,47.92,40.32,52.12,5.44,7.59,28.23
STU031,72.23,64.37,74.85,88.73,8.38,4.24,35.89
STU032,68.88,49.81,49.38,67.22,5.25,6.68,28.59
STU033,94.89,75.56,88,68.33,8.43,9.06,42.3
STU034,73.69,64.24,97.93,70.23,8.54,1.47,37.94
STU035,65.26,45.25,80.53,49.69,8.35,3.89,31.44
STU036,56.06,67.32,46.13,89.37,6.32,8.54,30.53
STU037,73.6,63.16,49.74,59.51,9.86,1.66,30.41
STU038,76.24,88.22,79.29,47.87,5.96,7.15,38.12
STU039,99.9,54.65,32.05,96.59,8.83,3.12,31.94
STU040,79.17,78.43,67.94,63.46,5.35,7.83,36.36
STU041,75.46,53.85,85.68,96.69,8.29,1.63,36.33
STU042,63.09,44.39,68.44,73,7.87,7.19,31.12
STU043,90.85,42.37,50.04,96.53,8.22,6.25,32.6
STU044,93.43,42.82,73.02,40.67,8.46,2.44,32.74
STU045,63.09,81.13,56.89,58.28,5.98,6.92,32.7
STU046,71.88,46.52,93.96,35.32,5.73,8.38,34.19
STU047,55.51,96.88,51.3,64.36,9.22,2.99,33.01
STU048,76.68,84.71,68.15,57.59,9.11,7.23,37.36
STU049,60,45.59,56.13,87.82,5.61,2.63,28.07
STU050,55.45,79.37,80.22,49.74,6.1,1.19,33.2
STU051,78.27,55.67,96.39,38.79,7.4,5.77,36.43
STU052,69.22,85.49,93.69,81.91,9.53,6.12,41.4
STU053,76.77,70.95,46.54,37.98,5.27,4.17,29.7
STU054,63.61,93.03,82.34,68.45,6.81,9.73,39.49
STU055,78.81,40.22,35.54,89.89,9.02,6.48,28.58
STU056,58.05,55.52,34.39,83.05,6.18,7.57,26.94
STU057,62.17,93.41,92.36,42.61,9.16,7.39,39.57
STU058,97.05,94.52,32.85,74.47,9.86,6.81,36.76
STU059,98.62,98.61,98.72,53.13,9.81,6.66,46.24
STU060,78.07,96.81,39.67,69.53,9.42,4.54,34.78
STU061,99.9,61.06,50.16,47.57,9.68,2.99,33.19
STU062,82.67,78.29,82.03,58.85,7.01,8.75,39.31
STU063,66.86,51.46,92.42,99.8,8.31,8.11,37.75
STU064,89.43,49.34,57.5,73.16,5.91,3.06,31.87
STU065,81.45,85.4,73.12,94.89,5.01,6.6,39.47
STU066,66.86,67.08,75.34,41.75,8.12,9.02,34.42
STU067,60.81,51.08,33.29,38.47,5.9,2.62,23.03
STU068,93.05,56.21,55.26,47.16,6.91,8.7,33.21
STU069,85.03,63.6,59.16,41.44,5.13,1.51,31.18
STU070,76.38,45.83,43.36,57.55,9.9,8.78,29.33
STU071,75.44,68.77,56.21,96.91,9.52,6.37,35.28
STU072,96.52,71.77,44.74,48.11,9.46,7.47,34.39
STU073,57.69,66.56,50.95,62.63,9.51,3.35,29.52
STU074,64.28,43.34,36.52,60.35,9.18,8.37,26.34
STU075,87.65,89.91,73.47,69.76,6.32,8.89,40.51
STU076,85.31,63.94,31.88,85.16,8.34,8.97,32.02
STU077,87.12,83.43,80.6,55.83,5.16,5.73,38.92
STU078,57.82,64.92,42.43,49.73,6.69,4.84,27.08
STU079,88.8,60.36,38.17,65.99,9.66,5.94,31.57
STU080,99.05,71.69,74.02,66.15,5.06,6.27,38.59
STU081,79.21,50.7,94.8,91.33,9.1,8.53,39.43
STU082,91.43,71.74,61.64,68.01,6.47,1.25,34.97
STU083,85.06,42.23,67.5,50.15,5.94,1.04,30.29
STU084,78.02,81.77,74.86,69.37,5.09,6.85,37.66
STU085,74.02,40.2,86.5,54.54,8.92,6.61,33.86
STU086,58.83,59.73,69.72,50.16,6.04,3.82,30.25
STU087,61.65,52.73,71.84,42.72,7.36,8.23,31.11
STU088,91.09,59.22,72.22,95.89,9.83,4.32,37.95
STU089,80.08,62.12,88.46,45.32,9.98,5.91,37.28
STU090,90.76,65.01,89.31,97.61,7.49,2.5,40.25
STU091,87.59,95.8,86.4,65.93,9.9,1.41,42.01
STU092,99.31,74.71,41.94,62.5,5.16,5.69,33.88
STU093,91.75,69.79,91.2,50.43,9.03,8.56,40.79
STU094,60.16,78.72,32.86,73.01,7.11,7.16,29.51
STU095,69.82,41.81,96.04,79.19,6.43,3.09,34.7
STU096,95.12,68.13,34.88,45.82,7.55,8.73,32
STU097,96.84,78.67,59.31,62.86,7.5,7.28,37.67
STU098,95.79,57.82,76.31,98.72,5.19,5.35,38.22
STU099,96.41,82.22,97.29,52.03,7.46,9,43.64
STU100,59.82,76.07,69.93,59.83,6.86,3.79,33.13
STU101,87.73,91.42,38.46,87.13,8.38,8.86,36.83
STU102,55.74,96.18,71.45,87.78,7.59,3.52,36.87
STU103,75.04,83.35,39.66,60.59,9.63,9.29,33.51
STU104,70.4,52.55,70.57,50.07,6.02,2.65,30.63
STU105,91.06,63.91,76.76,67.02,8.54,6.87,38.09
STU106,96.23,57.88,73.77,54.76,5.55,7.17,36.25
STU107,66.35,98.32,41.53,92.43,5.12,7.41,34.57
STU108,62.6,54.94,42.68,40.59,7.68,1.59,25.44
STU109,86.72,86.28,76.9,43.81,9.49,6.22,39.28
STU110,85.23,51.7,75.78,81.65,6.49,8.39,36.29
STU111,57.53,97.51,71.63,48.24,8.31,3.75,35.55
STU112,83.47,87.89,55.54,36.48,9.25,4.81,35.09
STU113,84.71,45.91,65.41,72.97,6.45,7.99,33.4
STU114,90.18,68.98,73.99,73,8.97,2.73,37.57
STU115,81.73,49.75,55.47,81.49,8.77,9.75,33.46
STU116,84.28,58.47,80.72,38.89,8.57,6.21,35.59
STU117,85.83,98.27,97.84,44.12,8.12,6.72,43.6
STU118,72.51,69.52,90.15,81.51,8.76,8.13,39.57
STU119,87.51,45.69,63.48,43.87,6.5,7.6,31.89
STU120,81.81,79.55,33.3,38.62,7.76,8.63,31.19
STU121,66.08,50.9,58.67,90.79,7.14,2.97,30.49
STU122,68.78,63.47,80.24,80.53,8.53,8.49,36.85
STU123,67.9,48.94,83.91,85.17,6.85,6.22,34.72
STU124,81.13,94.07,94.53,70.73,7.56,4.51,42.63
STU125,55.95,43.94,57.18,61.96,8.64,3.71,27.25
STU126,81.42,93.98,73.83,61.39,5.69,6.83,39.2
STU127,56.15,72.8,65.73,84.54,6.07,6.93,33.46
STU128,56.87,42.5,72.93,50.56,5.91,9.7,29.79
STU129,79.54,44.54,54.42,64.44,5.1,9.68,30.59
STU130,89.04,44.13,95.95,85.24,8.5,9.39,39.77
STU131,81.52,82.37,73.43,86.25,9.62,5.37,39.56
STU132,72.68,46.7,96.55,90.71,6.99,5.65,37.1
STU133,88.01,59.18,92.39,42.59,6.41,2.28,36.56
STU134,59.88,90.52,33.55,39.57,8.46,8.19,29.97
STU135,97.49,82.47,60.03,92.56,7.77,7.62,39.98
